visit_index,target_index,channel,edge,receiver_id,probe_start_sample,candidate_rank,integer_epoch_sample,fractional_epoch_offset_samples,acquired_absolute_baseband_cfo_hz,glrt_residual_cfo_hz,tracking_absolute_baseband_cfo_hz,pilot_nominal_baseband_hz,pilot_relative_raw_cfo_hz,pilot_relative_canonical_display_cfo_hz,pilot_alias_lift,fractional_exact_score,fractional_control_score,fractional_margin,passed_0p025_comparison_gate,integer_device_sample_counter
2168,5,2,upper,1,0,4,9384,-0.1385588245229399,369235.48780966434,-19087.35795454593,350148.1298551184,312500.0,37648.1298551184,37648.1298551184,0,0.04124115990007266,0.035954029862142606,0.005287130037930056,False,495082580286
2168,5,2,upper,1,0,5,2265,-0.9955986512661376,870059.1663203238,23082.38636363694,893141.5526839608,312500.0,580641.5526839608,-101176.629134221,3,0.03844096621361358,0.032661547933140765,0.005779418280472813,False,495082573167
2168,5,2,upper,1,0,7,12683,-0.22910831690278607,-254724.97444566153,-56374.289772728676,-311099.2642183902,312500.0,-623599.2642183902,58218.917599791544,-3,0.04202887044122112,0.033557503007872413,0.008471367433348705,False,495082583585
2169,4,1,upper,0,0,0,12069,-1.090435479430334,-204793.5511045655,56374.289772728676,-148419.2613318368,312500.0,-460919.2613318368,-6373.80678638228,-2,0.041702337252493775,0.03663018592717635,0.005072151325317423,False,495083986579
2169,4,1,upper,0,0,2,13177,-0.024272991443746162,313477.6762718664,-41281.960227273754,272195.7160445927,312500.0,-40304.28395540733,-40304.28395540733,0,0.04009045386780888,0.034234375656396226,0.005856078211412652,False,495083987687
2169,4,1,upper,0,0,3,1002,1.378534542075505,55349.56270927904,95880.68181818421,151230.24452746325,312500.0,-161269.75547253675,66002.97180019051,-1,0.038886828430577225,0.03519732850355507,0.0036894999270221523,False,495083975512
2169,4,1,upper,0,0,5,13177,-0.034582704666241505,313655.92088778986,-41281.960227273754,272373.9606605161,312500.0,-40126.03933948389,-40126.03933948389,0,0.04030358911411595,0.034244680634621015,0.006058908479494932,False,495083987687
2169,4,1,upper,0,0,6,10176,-1.0277127506013959,222540.57109774693,-47052.556818182995,175488.01427956394,312500.0,-137011.98572043606,90260.7415522912,-1,0.034305615918894285,0.03358892748747312,0.0007166884314211627,False,495083984686
2169,4,1,upper,0,0,7,10750,0.5276935025110009,-459460.359978821,-7546.164772727461,-467006.5247515485,312500.0,-779506.5247515484,-97688.34293336666,-3,0.0421319734453163,0.03211093464578936,0.01002103879952694,False,495083985260
2169,4,1,upper,1,0,2,10736,1.4396782959153527,913062.1886249832,-19975.142045455043,893087.0465795281,312500.0,580587.0465795281,-101231.13523865363,3,0.039256653327659756,0.03848288922781437,0.0007737640998453851,False,495083985246
2169,4,1,upper,1,0,3,8124,0.9062132316351456,97662.31439325059,73242.18750000183,170904.50189325243,312500.0,-141595.49810674757,85677.22916597969,-1,0.03957165063459434,0.0363701747790737,0.0032014758555206427,False,495083982634
2169,4,1,upper,1,0,4,8124,0.9062132316351456,97662.31439325059,73242.18750000183,170904.50189325243,312500.0,-141595.49810674757,85677.22916597969,-1,0.03957165063459434,0.0363701747790737,0.0032014758555206427,False,495083982634
2169,4,1,upper,1,0,6,7237,1.278122242169251,-272163.3121816339,97212.35795454787,-174950.95422708604,312500.0,-487450.95422708604,-32905.49968163151,-2,0.03747359130237759,0.03809118104795531,-0.0006175897455777193,False,495083981747
2170,6,3,upper,0,0,0,12216,-0.4709943571396651,-163703.79526554863,54154.8295454559,-109548.96572009273,312500.0,-422048.96572009276,32496.48882536177,-2,0.043476515819125074,0.03323041482543954,0.01024610099368553,False,495085393886
2170,6,3,upper,0,0,2,12783,-1.3684502616481544,900557.6711718619,76349.43181818372,976907.1029900457,312500.0,664407.1029900457,-17411.078828136087,3,0.04395597323646729,0.044174813386005735,-0.00021884014953844205,False,495085394453
2170,6,3,upper,0,0,3,1633,-0.08420786619934675,392148.5225597213,-52823.15340909223,339325.3691506291,312500.0,26825.369150629092,26825.369150629092,0,0.040158936152568075,0.03488357310889286,0.005275363043675214,False,495085383303
2170,6,3,upper,0,0,5,9561,0.5711565842178536,842671.3121232516,-85227.27272727486,757444.0393959768,312500.0,444944.0393959768,-9601.415149477718,2,0.03710599329233716,0.03549479698349343,0.0016111963088437306,False,495085391231
2170,6,3,upper,0,0,6,9561,0.0016432938305704942,1008172.6093585844,75461.64772727461,1083634.257085859,312500.0,771134.2570858591,89316.07526767731,3,0.036406365225163606,0.035856299009342195,0.0005500662158214112,False,495085391231
