absolute_rate_outlier_count,absolute_rate_outlier_fraction,applied_phase_slip_count,byte_size,frame_count,internal_status,maximum_absolute_rate_hz_s,median_track_rate_sigma_hz_s,median_track_slip_fraction,path,phase_slip_count,phase_slip_fraction,registry_status,session_id,track_count
1375,0.9892086330935251,840,1281449,1390,complete,15452512.774427108,0.1858912427134417,0.60431654676259,stream-1 · RX0,840,0.60431654676259,complete,cap-20260823T104200-597c155f2bcf,2
13314,0.6166743862899491,13835,19906064,21590,complete,13381385.134107111,0.1585496448560793,0.6275495200506913,stream-0 · RX0,13835,0.6408059286706809,complete,cap-20260823T104500-c60e191df8ff,12
15422,0.5535137463211542,17805,25765897,27862,partial,21327201.6793404,0.16286062094145504,0.6198863091781448,stream-0 · RX1,17805,0.6390424233723351,partial_coverage,cap-20260823T104500-c60e191df8ff,16
5327,0.9539756446991404,3446,5149394,5584,complete,35603281.05481386,0.18496181335424877,0.614406779661017,stream-1 · RX0,3446,0.6171203438395415,complete,cap-20260823T104500-c60e191df8ff,9
17648,0.5096453736860345,22255,32027271,34628,partial,9767653.148857938,0.15858933695378513,0.6384156190271084,stream-1 · RX1,22255,0.6426879981517847,partial_coverage,cap-20260823T104500-c60e191df8ff,16
4938,0.9070536370315944,3285,5019480,5444,complete,11044959.905077364,0.17708232979499372,0.6046884644121755,stream-0 · RX0,3285,0.6034166054371786,complete,cap-20260823T104800-e74d8882b242,6
19119,0.6328908603396339,18746,27931733,30209,partial,11726819.599708851,0.16552695613157148,0.6242505716095976,stream-0 · RX1,18746,0.620543546625178,partial_coverage,cap-20260823T104800-e74d8882b242,16
14161,0.564993616342164,16190,23107356,25064,complete,13009743.990788711,0.16484503796044736,0.6220338983050847,stream-1 · RX0,16190,0.6459463772741781,partial_coverage,cap-20260823T104800-e74d8882b242,16
14585,0.6332768876731362,14569,21308273,23031,complete,14504544.021166816,0.153012010425295,0.6459553910987768,stream-1 · RX1,14569,0.6325821718553254,partial_coverage,cap-20260823T104800-e74d8882b242,14
18341,0.5026446326290115,23977,33713728,36489,complete,18685351.501340866,0.15104349398424893,0.6686915887850468,stream-1 · RX1,23977,0.6571021403710707,partial_coverage,cap-20260823T105400-45b265314705,15
4866,0.7809340394800193,4111,5738554,6231,complete,68376079.17498669,0.16049698406978513,0.671161825726141,stream-1 · RX0,4111,0.6597656876905794,complete,cap-20260823T105400-45b265314705,7
20838,0.6216030784834293,21199,30987976,33523,complete,9265059.873077638,0.15343378848946612,0.6529411764705882,stream-0 · RX1,21199,0.6323718044327775,partial_coverage,cap-20260823T105400-45b265314705,15
16054,0.4699098466221754,23107,31495344,34164,complete,11993593.806293411,0.15797570130861976,0.6407690129714592,stream-0 · RX0,23107,0.6763552277250907,partial_coverage,cap-20260823T105400-45b265314705,16
15253,0.5441863783938065,18257,25929823,28029,complete,8766885.78660079,0.16202505747945412,0.6437362371370486,stream-1 · RX1,18257,0.6513610902993329,partial_coverage,cap-20260823T105700-5b47e25426e2,14
